method,split,task,regime,mean_success_rate,ci95_success_rate,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_shield,clean_deployment,cable_tip_alignment,camera_extrinsic_drift,0.620748,0.034319,0.549593,0.005259,0.135165,0.000989,0.138998,0.002384,0.057281,0.002672,0.259273,0.000724,0.072014,0.002400,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,compound_visual_geometry_shift,0.602041,0.036311,0.535249,0.001395,0.157426,0.001066,0.148294,0.002550,0.059003,0.000609,0.261564,0.000578,0.078514,0.000721,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,depth_scale_error,0.605442,0.035434,0.545004,0.001229,0.137451,0.002883,0.139029,0.000586,0.060022,0.002063,0.256712,0.000543,0.071458,0.002661,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,jacobian_mismatch,0.581633,0.032375,0.542914,0.001229,0.144889,0.000941,0.143955,0.000659,0.059054,0.002972,0.259600,0.000539,0.071392,0.000636,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,lighting_shift,0.630952,0.022771,0.550249,0.005341,0.133578,0.000912,0.139434,0.000638,0.054993,0.000909,0.256346,0.000699,0.069908,0.000616,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,nominal_view,0.676871,0.025676,0.561904,0.001165,0.125327,0.004006,0.131697,0.000470,0.057487,0.000837,0.257323,0.000753,0.064285,0.000539,7,84
cbf_safety_shield,clean_deployment,cable_tip_alignment,occlusion_shift,0.607143,0.041051,0.541393,0.001203,0.147256,0.002891,0.142049,0.002439,0.060035,0.000943,0.262739,0.000778,0.074747,0.001976,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,camera_extrinsic_drift,0.612245,0.038730,0.552150,0.001344,0.137085,0.001027,0.125782,0.002571,0.054906,0.000994,0.260067,0.002525,0.072752,0.001897,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,compound_visual_geometry_shift,0.568027,0.020184,0.540106,0.003774,0.155926,0.001104,0.136091,0.000774,0.058090,0.000832,0.262620,0.000715,0.075774,0.000747,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,depth_scale_error,0.613946,0.034102,0.546408,0.005269,0.136792,0.000979,0.126277,0.002388,0.057713,0.002789,0.259047,0.000760,0.072722,0.002404,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,jacobian_mismatch,0.622449,0.024795,0.537458,0.001280,0.145945,0.000979,0.128985,0.000686,0.056130,0.002137,0.261612,0.000805,0.072684,0.002404,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,lighting_shift,0.656463,0.039907,0.550505,0.005300,0.137203,0.002879,0.125136,0.002486,0.057724,0.000920,0.257937,0.002617,0.071810,0.000611,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,nominal_view,0.629252,0.047610,0.555296,0.001216,0.123803,0.003975,0.117192,0.001970,0.057881,0.000817,0.256213,0.002970,0.067247,0.002696,7,84
cbf_safety_shield,clean_deployment,drawer_handle_alignment,occlusion_shift,0.622449,0.028674,0.545081,0.001255,0.144879,0.000960,0.129227,0.000672,0.056322,0.000623,0.261574,0.000538,0.071409,0.000649,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,camera_extrinsic_drift,0.607143,0.039441,0.544022,0.001331,0.141699,0.001018,0.133045,0.000713,0.058698,0.001136,0.257045,0.000808,0.069474,0.000688,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,compound_visual_geometry_shift,0.613946,0.043759,0.536500,0.005147,0.155356,0.001095,0.143121,0.000767,0.057033,0.001039,0.261349,0.000750,0.075817,0.000741,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,depth_scale_error,0.642857,0.050406,0.551748,0.001267,0.142931,0.002872,0.136904,0.000606,0.058652,0.001206,0.257844,0.002636,0.072771,0.000624,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,jacobian_mismatch,0.596939,0.050772,0.542798,0.005279,0.146939,0.003944,0.138262,0.002738,0.061173,0.001214,0.258667,0.001015,0.076081,0.000591,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,lighting_shift,0.675170,0.036616,0.553863,0.004873,0.136710,0.000941,0.133363,0.000659,0.056173,0.001046,0.259276,0.000744,0.070763,0.000636,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,nominal_view,0.690476,0.020367,0.555808,0.001203,0.126322,0.003655,0.124116,0.001929,0.056502,0.000655,0.256848,0.001892,0.068254,0.002500,7,84
cbf_safety_shield,clean_deployment,eye_in_hand_peg_insert,occlusion_shift,0.617347,0.045379,0.543001,0.001242,0.142023,0.000951,0.134641,0.000665,0.056823,0.001986,0.259289,0.000899,0.069891,0.000643,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,camera_extrinsic_drift,0.629252,0.038586,0.546571,0.004804,0.140181,0.001018,0.118972,0.000713,0.056575,0.001026,0.256955,0.001916,0.068437,0.000688,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,compound_visual_geometry_shift,0.629252,0.039907,0.541337,0.001434,0.153838,0.001095,0.129048,0.000767,0.057332,0.001935,0.260183,0.001016,0.074781,0.000741,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,depth_scale_error,0.646259,0.026317,0.549724,0.001267,0.143128,0.000970,0.122900,0.000679,0.057026,0.001145,0.260229,0.002376,0.071762,0.000656,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,jacobian_mismatch,0.625850,0.044928,0.545348,0.003839,0.150566,0.002872,0.127826,0.000606,0.059420,0.001219,0.259652,0.002326,0.075127,0.000624,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,lighting_shift,0.605442,0.022443,0.556413,0.001229,0.135192,0.000941,0.119290,0.000659,0.055886,0.000925,0.258962,0.000716,0.069726,0.000636,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,nominal_view,0.702381,0.042601,0.553784,0.001203,0.128234,0.000922,0.113611,0.002631,0.054965,0.000991,0.256860,0.000719,0.069560,0.000623,7,84
cbf_safety_shield,clean_deployment,mobile_pick_reapproach,occlusion_shift,0.646259,0.047687,0.540977,0.001242,0.140505,0.000951,0.120568,0.000665,0.057994,0.002095,0.257987,0.000851,0.072285,0.002633,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,camera_extrinsic_drift,0.673469,0.060000,0.547666,0.005228,0.139815,0.001018,0.100537,0.000713,0.054683,0.001400,0.256445,0.002008,0.069155,0.001899,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,compound_visual_geometry_shift,0.639456,0.042514,0.538387,0.004735,0.155584,0.001095,0.112106,0.000767,0.055450,0.001329,0.261421,0.000934,0.075797,0.000741,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,depth_scale_error,0.629252,0.026667,0.546772,0.001267,0.141442,0.000970,0.103532,0.000679,0.055349,0.000833,0.261737,0.000660,0.070435,0.000656,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,jacobian_mismatch,0.651361,0.019532,0.544682,0.001267,0.150595,0.000970,0.108527,0.000679,0.057016,0.000789,0.260736,0.002653,0.073827,0.000656,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,lighting_shift,0.683673,0.037712,0.552405,0.001229,0.132714,0.000941,0.099363,0.000659,0.052842,0.002037,0.256703,0.000799,0.067859,0.000636,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,nominal_view,0.695578,0.035590,0.560506,0.004891,0.125228,0.000922,0.096741,0.000645,0.052212,0.000973,0.255100,0.000698,0.067332,0.000623,7,84
cbf_safety_shield,clean_deployment,visual_grasp_centering,occlusion_shift,0.680272,0.044804,0.541895,0.004865,0.145152,0.003960,0.104532,0.002749,0.057808,0.000862,0.257491,0.001977,0.075281,0.000578,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,camera_extrinsic_drift,0.527211,0.032088,0.527032,0.005269,0.161063,0.000979,0.163694,0.002388,0.062632,0.003030,0.270157,0.000552,0.086015,0.002404,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,compound_visual_geometry_shift,0.464286,0.039768,0.514611,0.005188,0.179621,0.002840,0.173803,0.000666,0.067116,0.001892,0.277282,0.001057,0.088844,0.000683,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,depth_scale_error,0.556122,0.023727,0.528986,0.001216,0.164825,0.000931,0.165912,0.000652,0.061091,0.002396,0.269282,0.000582,0.084180,0.000629,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,jacobian_mismatch,0.522109,0.035066,0.524809,0.003859,0.174129,0.000931,0.171013,0.000652,0.061707,0.000600,0.272372,0.000485,0.087675,0.000629,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,lighting_shift,0.523810,0.038778,0.529819,0.001178,0.164504,0.000903,0.160822,0.001920,0.063044,0.000872,0.270719,0.000616,0.085055,0.002440,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,nominal_view,0.571429,0.029690,0.533950,0.001152,0.150609,0.000883,0.160533,0.000618,0.058215,0.000691,0.264487,0.000545,0.082441,0.000597,7,84
cbf_safety_shield,combined_stress,cable_tip_alignment,occlusion_shift,0.534014,0.039907,0.526855,0.001191,0.167165,0.000912,0.167086,0.000638,0.064010,0.002630,0.270570,0.002652,0.084660,0.000616,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,camera_extrinsic_drift,0.562925,0.053333,0.528949,0.001331,0.161480,0.002854,0.152701,0.000639,0.062214,0.002592,0.270818,0.000789,0.085826,0.000657,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,compound_visual_geometry_shift,0.503401,0.041899,0.511968,0.001434,0.185193,0.001095,0.159593,0.002534,0.064583,0.000956,0.275629,0.000746,0.092174,0.000741,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,depth_scale_error,0.540816,0.047454,0.522890,0.003839,0.162663,0.000970,0.149666,0.001903,0.061870,0.002561,0.269877,0.000720,0.085661,0.002622,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,jacobian_mismatch,0.520408,0.044887,0.518714,0.001267,0.171967,0.000970,0.153623,0.000679,0.061026,0.002097,0.272831,0.000623,0.085724,0.001911,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,lighting_shift,0.544218,0.034801,0.527148,0.001229,0.159765,0.003967,0.146186,0.001967,0.063563,0.000864,0.268096,0.002204,0.084776,0.002455,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,nominal_view,0.591837,0.034048,0.540423,0.001203,0.147583,0.000922,0.142533,0.000645,0.058718,0.002345,0.264149,0.000726,0.078757,0.000623,7,84
cbf_safety_shield,combined_stress,drawer_handle_alignment,occlusion_shift,0.528912,0.032546,0.527616,0.001242,0.171861,0.000951,0.154543,0.000665,0.061782,0.001161,0.273348,0.000831,0.086248,0.000643,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,camera_extrinsic_drift,0.552721,0.038055,0.526090,0.004812,0.165241,0.001008,0.155979,0.000706,0.060604,0.000381,0.269510,0.002965,0.083076,0.001902,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,compound_visual_geometry_shift,0.518707,0.015154,0.513632,0.001421,0.185486,0.001085,0.166137,0.002540,0.064611,0.000564,0.275183,0.000630,0.091630,0.001883,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,depth_scale_error,0.591837,0.027756,0.528925,0.004856,0.167950,0.003629,0.160882,0.001994,0.062763,0.000553,0.268973,0.002547,0.087382,0.000596,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,jacobian_mismatch,0.518707,0.051135,0.517888,0.003844,0.172108,0.003629,0.161203,0.002569,0.065898,0.000862,0.270167,0.000746,0.088507,0.002433,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,lighting_shift,0.557823,0.023570,0.526628,0.001216,0.161850,0.003648,0.155140,0.002710,0.062755,0.000701,0.271149,0.001802,0.085456,0.001956,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,nominal_view,0.622449,0.024795,0.541631,0.001191,0.147534,0.000912,0.149978,0.000638,0.059367,0.002638,0.264465,0.001906,0.079123,0.000616,7,84
cbf_safety_shield,combined_stress,eye_in_hand_peg_insert,occlusion_shift,0.530612,0.064176,0.526232,0.001229,0.169867,0.000941,0.160615,0.000659,0.060379,0.001706,0.271514,0.001068,0.085287,0.000636,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,camera_extrinsic_drift,0.573129,0.058815,0.528864,0.005238,0.163437,0.001008,0.141640,0.000706,0.058484,0.001006,0.271608,0.002176,0.084175,0.002601,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,compound_visual_geometry_shift,0.513605,0.063683,0.511832,0.001421,0.183682,0.001085,0.154084,0.002339,0.063093,0.001809,0.274106,0.001218,0.091585,0.000734,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,depth_scale_error,0.556122,0.043119,0.531699,0.001255,0.169576,0.000960,0.147823,0.000672,0.062057,0.001078,0.271632,0.002317,0.086249,0.000649,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,jacobian_mismatch,0.569728,0.034694,0.520662,0.005290,0.173734,0.003952,0.149288,0.002798,0.063502,0.000929,0.270816,0.002381,0.089660,0.000584,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,lighting_shift,0.588435,0.032146,0.527115,0.003859,0.163476,0.000931,0.143224,0.002411,0.060768,0.000871,0.270858,0.000668,0.085466,0.000629,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,nominal_view,0.602041,0.030912,0.539831,0.001191,0.147445,0.002894,0.135707,0.000566,0.060473,0.001909,0.266972,0.002487,0.077962,0.000585,7,84
cbf_safety_shield,combined_stress,mobile_pick_reapproach,occlusion_shift,0.556122,0.044887,0.524433,0.001229,0.168063,0.000941,0.146275,0.000659,0.060444,0.003075,0.270131,0.000707,0.084099,0.000636,7,84
