method,stress_level,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0.000000,0,0.640390,0.007607,0.623559,0.009603,0.579517,0.001648,0.120151,0.001605,0.111439,0.003765,0.046386,0.000718,0.253402,0.000742,0.062979,0.000702,0.063947,0.000572,0.119949,0.001735,0.120429,0.001534,50
cbf_safety_shield,0.000000,1,0.640586,0.007584,0.624139,0.009683,0.579522,0.001403,0.119529,0.001681,0.111071,0.004004,0.046853,0.000677,0.253084,0.000716,0.062936,0.000737,0.064143,0.000594,0.119507,0.001898,0.120313,0.001628,50
cbf_safety_shield,0.000000,2,0.640721,0.007152,0.623842,0.008958,0.579329,0.001606,0.120262,0.001363,0.110802,0.003861,0.046489,0.000722,0.253021,0.000696,0.063396,0.000702,0.063984,0.000611,0.120128,0.001608,0.120477,0.001383,50
cbf_safety_shield,0.000000,3,0.641872,0.007247,0.625334,0.009363,0.579058,0.001634,0.118941,0.001497,0.111170,0.003904,0.047346,0.000745,0.253258,0.000756,0.063230,0.000830,0.063797,0.000627,0.119931,0.001820,0.120391,0.001606,50
cbf_safety_shield,0.000000,4,0.641428,0.007473,0.624758,0.009489,0.579768,0.001680,0.119945,0.001618,0.111590,0.003825,0.046561,0.000795,0.252777,0.000750,0.063296,0.000801,0.063811,0.000560,0.119929,0.001889,0.120522,0.001693,50
cbf_safety_shield,0.000000,5,0.640302,0.007493,0.624006,0.009463,0.580109,0.001697,0.119866,0.001469,0.110725,0.003698,0.046806,0.000813,0.252833,0.000746,0.062843,0.000623,0.064000,0.000519,0.120045,0.001779,0.120355,0.001564,50
cbf_safety_shield,0.000000,6,0.642490,0.007193,0.626137,0.009158,0.579820,0.001657,0.119872,0.001628,0.110723,0.003730,0.046314,0.000665,0.253718,0.000649,0.062943,0.000656,0.064184,0.000584,0.119654,0.001765,0.120090,0.001526,50
cbf_safety_shield,0.000000,7,0.639360,0.007013,0.621815,0.009286,0.578867,0.001655,0.120250,0.001753,0.111883,0.004097,0.046816,0.000731,0.253334,0.000719,0.063329,0.000720,0.063962,0.000520,0.120343,0.001890,0.120886,0.001737,50
cbf_safety_shield,0.000000,8,0.640908,0.007242,0.624542,0.009290,0.580657,0.001609,0.119841,0.001708,0.111112,0.003643,0.046675,0.000710,0.253736,0.000600,0.063174,0.000679,0.063598,0.000581,0.119816,0.001802,0.120411,0.001608,50
cbf_safety_shield,0.000000,9,0.641845,0.007934,0.625318,0.010034,0.579806,0.001646,0.119901,0.001488,0.110843,0.003713,0.046807,0.000778,0.253215,0.000802,0.062809,0.000775,0.064028,0.000500,0.119902,0.001757,0.120392,0.001599,50
cbf_safety_shield,0.180000,0,0.610338,0.007968,0.572957,0.010268,0.567168,0.001823,0.134257,0.001824,0.120377,0.003786,0.048643,0.000824,0.257761,0.000759,0.067696,0.000712,0.067805,0.000634,0.133202,0.001907,0.131324,0.001694,50
cbf_safety_shield,0.180000,1,0.610534,0.007932,0.573538,0.010307,0.567174,0.001539,0.133635,0.001877,0.120008,0.004030,0.049111,0.000747,0.257443,0.000735,0.067653,0.000749,0.068001,0.000649,0.132761,0.002050,0.131208,0.001770,50
cbf_safety_shield,0.180000,2,0.610669,0.007531,0.573240,0.009608,0.566980,0.001752,0.134368,0.001543,0.119740,0.003883,0.048747,0.000804,0.257380,0.000708,0.068113,0.000711,0.067842,0.000670,0.133382,0.001762,0.131373,0.001521,50
cbf_safety_shield,0.180000,3,0.611820,0.007601,0.574732,0.010016,0.566709,0.001773,0.133047,0.001711,0.120108,0.003930,0.049603,0.000839,0.257617,0.000777,0.067947,0.000844,0.067656,0.000680,0.133184,0.001990,0.131287,0.001766,50
cbf_safety_shield,0.180000,4,0.611375,0.007779,0.574157,0.010055,0.567420,0.001812,0.134051,0.001785,0.120527,0.003847,0.048819,0.000875,0.257136,0.000767,0.068013,0.000812,0.067669,0.000619,0.133183,0.002008,0.131418,0.001816,50
cbf_safety_shield,0.180000,5,0.610249,0.007887,0.573405,0.010136,0.567760,0.001855,0.133973,0.001644,0.119662,0.003721,0.049064,0.000906,0.257192,0.000759,0.067561,0.000636,0.067858,0.000579,0.133298,0.001918,0.131250,0.001699,50
cbf_safety_shield,0.180000,6,0.612438,0.007508,0.575536,0.009768,0.567471,0.001837,0.133978,0.001835,0.119661,0.003753,0.048572,0.000718,0.258077,0.000666,0.067660,0.000672,0.068043,0.000648,0.132908,0.001915,0.130985,0.001667,50
cbf_safety_shield,0.180000,7,0.609308,0.007363,0.571214,0.009920,0.566518,0.001812,0.134356,0.001959,0.120820,0.004118,0.049073,0.000817,0.257693,0.000733,0.068046,0.000729,0.067820,0.000578,0.133596,0.002033,0.131782,0.001877,50
cbf_safety_shield,0.180000,8,0.610856,0.007578,0.573940,0.009919,0.568308,0.001765,0.133947,0.001919,0.120050,0.003665,0.048932,0.000783,0.258095,0.000620,0.067892,0.000693,0.067457,0.000643,0.133069,0.001963,0.131307,0.001754,50
cbf_safety_shield,0.180000,9,0.611792,0.008282,0.574716,0.010656,0.567458,0.001803,0.134007,0.001706,0.119780,0.003736,0.049064,0.000835,0.257574,0.000823,0.067526,0.000792,0.067886,0.000533,0.133156,0.001903,0.131287,0.001737,50
cbf_safety_shield,0.320000,0,0.586037,0.008351,0.532663,0.010925,0.557564,0.001973,0.145228,0.002008,0.127328,0.003803,0.050415,0.000916,0.261164,0.000775,0.071365,0.000722,0.070806,0.000690,0.143520,0.002055,0.139809,0.001832,50
cbf_safety_shield,0.320000,1,0.586233,0.008304,0.533243,0.010933,0.557569,0.001666,0.144607,0.002046,0.126959,0.004051,0.050883,0.000817,0.260846,0.000753,0.071322,0.000760,0.071002,0.000700,0.143078,0.002183,0.139692,0.001896,50
cbf_safety_shield,0.320000,2,0.586368,0.007932,0.532946,0.010260,0.557376,0.001883,0.145340,0.001706,0.126691,0.003901,0.050519,0.000881,0.260784,0.000719,0.071782,0.000720,0.070843,0.000724,0.143699,0.001900,0.139857,0.001646,50
cbf_safety_shield,0.320000,3,0.587519,0.007983,0.534438,0.010667,0.557105,0.001900,0.144018,0.001893,0.127059,0.003951,0.051376,0.000922,0.261020,0.000795,0.071616,0.000856,0.070657,0.000729,0.143502,0.002135,0.139771,0.001904,50
cbf_safety_shield,0.320000,4,0.587074,0.008117,0.533862,0.010638,0.557815,0.001934,0.145022,0.001936,0.127479,0.003866,0.050591,0.000949,0.260539,0.000782,0.071682,0.000821,0.070670,0.000672,0.143501,0.002120,0.139902,0.001930,50
cbf_safety_shield,0.320000,5,0.585948,0.008296,0.533110,0.010799,0.558155,0.001994,0.144944,0.001802,0.126614,0.003740,0.050836,0.000988,0.260595,0.000771,0.071230,0.000648,0.070859,0.000634,0.143616,0.002044,0.139734,0.001822,50
cbf_safety_shield,0.320000,6,0.588137,0.007860,0.535241,0.010389,0.557867,0.001990,0.144950,0.002011,0.126612,0.003771,0.050344,0.000777,0.261480,0.000682,0.071329,0.000685,0.071043,0.000704,0.143225,0.002049,0.139469,0.001793,50
cbf_safety_shield,0.320000,7,0.585007,0.007745,0.530919,0.010559,0.556913,0.001950,0.145327,0.002134,0.127772,0.004136,0.050846,0.000897,0.261096,0.000746,0.071715,0.000738,0.070821,0.000632,0.143914,0.002161,0.140266,0.002001,50
cbf_safety_shield,0.320000,8,0.586555,0.007945,0.533646,0.010552,0.558704,0.001903,0.144919,0.002098,0.127001,0.003684,0.050705,0.000854,0.261498,0.000637,0.071560,0.000704,0.070457,0.000698,0.143387,0.002103,0.139791,0.001883,50
cbf_safety_shield,0.320000,9,0.587491,0.008653,0.534422,0.011278,0.557853,0.001941,0.144979,0.001890,0.126732,0.003754,0.050837,0.000895,0.260978,0.000840,0.071195,0.000807,0.070887,0.000572,0.143473,0.002035,0.139771,0.001861,50
cbf_safety_shield,0.460000,0,0.560924,0.008835,0.491547,0.011707,0.547960,0.002132,0.156200,0.002201,0.134280,0.003821,0.052203,0.001014,0.264578,0.000793,0.075034,0.000733,0.073807,0.000751,0.153846,0.002214,0.148301,0.001980,50
cbf_safety_shield,0.460000,1,0.561120,0.008777,0.492127,0.011686,0.547965,0.001808,0.155578,0.002227,0.133911,0.004073,0.052670,0.000897,0.264260,0.000772,0.074991,0.000773,0.074003,0.000756,0.153405,0.002328,0.148185,0.002034,50
cbf_safety_shield,0.460000,2,0.561256,0.008438,0.491830,0.011043,0.547771,0.002026,0.156311,0.001884,0.133642,0.003920,0.052306,0.000966,0.264198,0.000732,0.075451,0.000730,0.073843,0.000783,0.154026,0.002051,0.148350,0.001785,50
cbf_safety_shield,0.460000,3,0.562407,0.008469,0.493322,0.011446,0.547500,0.002039,0.154990,0.002085,0.134010,0.003973,0.053163,0.001014,0.264435,0.000814,0.075285,0.000869,0.073657,0.000784,0.153828,0.002291,0.148263,0.002051,50
cbf_safety_shield,0.460000,4,0.561962,0.008557,0.492746,0.011351,0.548211,0.002068,0.155994,0.002102,0.134430,0.003885,0.052378,0.001032,0.263954,0.000798,0.075351,0.000832,0.073671,0.000731,0.153827,0.002245,0.148394,0.002056,50
cbf_safety_shield,0.460000,5,0.560836,0.008806,0.491995,0.011588,0.548551,0.002143,0.155916,0.001975,0.133565,0.003760,0.052623,0.001078,0.264010,0.000785,0.074898,0.000661,0.073859,0.000695,0.153942,0.002183,0.148227,0.001956,50
cbf_safety_shield,0.460000,6,0.563025,0.008319,0.494125,0.011143,0.548262,0.002152,0.155921,0.002198,0.133564,0.003790,0.052131,0.000849,0.264895,0.000700,0.074998,0.000700,0.074044,0.000765,0.153552,0.002194,0.147962,0.001931,50
cbf_safety_shield,0.460000,7,0.559895,0.008233,0.489804,0.011328,0.547309,0.002099,0.156299,0.002319,0.134723,0.004155,0.052633,0.000985,0.264510,0.000760,0.075384,0.000748,0.073822,0.000692,0.154240,0.002301,0.148759,0.002136,50
cbf_safety_shield,0.460000,8,0.561442,0.008417,0.492530,0.011316,0.549099,0.002052,0.155890,0.002287,0.133952,0.003703,0.052492,0.000936,0.264913,0.000657,0.075229,0.000718,0.073458,0.000758,0.153713,0.002254,0.148283,0.002023,50
cbf_safety_shield,0.460000,9,0.562379,0.009125,0.493306,0.012026,0.548249,0.002090,0.155950,0.002084,0.133683,0.003774,0.052624,0.000966,0.264392,0.000859,0.074864,0.000822,0.073888,0.000619,0.153800,0.002178,0.148264,0.001996,50
cbf_safety_shield,0.600000,0,0.535001,0.009427,0.449610,0.012616,0.538355,0.002299,0.167171,0.002402,0.141231,0.003841,0.054004,0.001116,0.268004,0.000812,0.078703,0.000746,0.076808,0.000815,0.164181,0.002381,0.156802,0.002137,50
cbf_safety_shield,0.600000,1,0.535197,0.009359,0.450190,0.012567,0.538360,0.001960,0.166550,0.002417,0.140862,0.004096,0.054472,0.000986,0.267686,0.000793,0.078660,0.000786,0.077004,0.000817,0.163739,0.002482,0.156686,0.002181,50
cbf_safety_shield,0.600000,2,0.535332,0.009054,0.449893,0.011956,0.538167,0.002179,0.167283,0.002072,0.140594,0.003939,0.054108,0.001059,0.267624,0.000748,0.079120,0.000741,0.076844,0.000845,0.164360,0.002211,0.156851,0.001934,50
cbf_safety_shield,0.600000,3,0.536484,0.009068,0.451385,0.012354,0.537896,0.002189,0.165961,0.002284,0.140962,0.003996,0.054965,0.001111,0.267861,0.000835,0.078954,0.000883,0.076658,0.000843,0.164163,0.002456,0.156764,0.002207,50
cbf_safety_shield,0.600000,4,0.536039,0.009107,0.450809,0.012197,0.538606,0.002214,0.166965,0.002280,0.141382,0.003905,0.054180,0.001123,0.267380,0.000817,0.079020,0.000844,0.076672,0.000794,0.164161,0.002383,0.156895,0.002192,50
cbf_safety_shield,0.600000,5,0.534913,0.009423,0.450058,0.012503,0.538947,0.002300,0.166887,0.002159,0.140516,0.003781,0.054425,0.001174,0.267436,0.000801,0.078567,0.000675,0.076860,0.000759,0.164277,0.002333,0.156728,0.002101,50
cbf_safety_shield,0.600000,6,0.537101,0.008892,0.452188,0.012030,0.538658,0.002321,0.166893,0.002393,0.140515,0.003811,0.053933,0.000931,0.268321,0.000720,0.078667,0.000715,0.077045,0.000830,0.163886,0.002350,0.156463,0.002078,50
